Video URL,Title,Description,Channel Title,Keyword Tags,YouTube Video Category,Topic Details,Video Published at,Video Duration,View Count,Comment Count,Captions Available,Caption Text,Location of Recording
https://www.youtube.com/watch?v=AL2xUN_eP50,State of Play,"Academy Award-winner Russell Crowe leads an all-star cast, including Ben Affleck, Rachel McAdams & Helen Mirren in the gripping thriller about deception, manipulation & corruption. When D.C. Reporter Cal McCaffrey (Russell Crowe) is assigned to investigate the murder of an assistant to an up-and-coming politician (Ben Affleck), he uncovers a conspiracy that threatens to bring down the nation's power structures. In a town of spin-doctors and wealthy power brokers, he will discover one truth: when fortunes are at stake, no one's integrity, love or life is safe. From director Kevin Macdonald of The Last King of Scotland, State of Play brings together strong performances, riveting suspense and is ""sophisticated, intelligent and powerful"" (Shawn Edwards, Fox-TV). CBFC Rating U/A. Certificate Number VFL/2/387/2009-MUM",YouTube Movies,,30,,2013-07-03T17:54:12Z,PT2H7M1S,0,0,true,,
https://www.youtube.com/watch?v=IEAfVDaf1hM,Contagion,"When Beth Emhoff (Gwyneth Paltrow) returns to Minneapolis from business in Hong Kong, what she thought was jet lag takes a virulent turn. Two days later, she's dead in the ER and the doctors tell her shocked and grieving husband (Matt Damon) they have no idea why. Soon more cases are reported as the virus begins to spread. Researchers mobilize to break the code of this unique biological pathogen as it continues to mutate. Deputy Director Cheever (Laurence Fishburne) tries to allay the growing panic despite his own personal concerns, and must send a brave young doctor (Kate Winslet) into harm's way. As the death toll escalates and people struggle to protect themselves and their loved ones in a society breaking down, one activist blogger (Jude Law) claims the public isn't getting the truth about what's really going on, and sets off an epidemic of paranoia and fear as infectious as the virus itself. © 2011 Warner Bros. Entertainment Inc. CBFC Rating U.Cert No. CFL/1/29/2011 Mum.",YouTube Movies,,30,,2014-01-24T11:38:06Z,PT1H46M22S,0,315,true,,
https://www.youtube.com/watch?v=LjiXs0LdFZs,Definitely Maybe,From the makers of Notting Hill and Love Actually comes this charming romantic comedy about a father who discovers that a second look at the past may lead to a second chance at the future. CBFC Rating U/A. Certificate Number VFL/2/293/2008-Mum,YouTube Movies,,30,,2013-07-03T03:51:00Z,PT1H51M49S,0,0,true,,
https://www.youtube.com/watch?v=GjbLPDsPhDA,We Bought a Zoo,"Oscar® Winner Matt Damon gives a heartfelt performance in this delightful film that's based on a true story. When his teenage son gets into trouble, Benjamin Mee (Damon) gives up a lucrative newspaper job to move his family to the most unlikely of places: a zoo! With help from an eclectic staff, and with many misadventures along the way, Benjamin embarks on a fresh beginning to restore the dilapidated zoo to its former glory, while uniting his family. From the director of Jerry Maguire, We Bought a Zoo is a wonderful, warm and witty celebration of the human spirit.",YouTube Movies,,30,,2014-02-04T00:03:07Z,PT2H3M52S,0,13,true,,
https://www.youtube.com/watch?v=eRSkM_W9xXw,Charlie Wilson's War,"Based on the outrageous true story, Charlie Wilson's War stars Tom Hanks, Julia Roberts and Philip Seymour Hoffman in the film Roger Ebert of the Chicago Sun-Times calls ""wickedly funny."" CBFC rating UA.  Certification Number VFL/2/84/2009-MUM.",YouTube Movies,,30,,2013-07-03T07:20:16Z,PT1H41M57S,0,0,true,,
https://www.youtube.com/watch?v=JLwNc9sGEes,Shallow Hal,"From the duo that brought you Dumb and Dumber and There's Something About Mary comes a hilarious film about ""inner beauty""!  Hal (Jack Black) is a man so shallow that all he cares about are the bodies of the women he dates.  After being hypnotized into seeing the beauty that exists even in the least physically appealing women, he now thinks he's found true love.  But what he doesn't realize is that his gorgeous girlfriend (Gwyneth Paltrow) is actually a 300-pound-not-so-hottie!",YouTube Movies,,30,,2014-03-23T05:16:24Z,PT1H53M41S,0,0,true,,
https://www.youtube.com/watch?v=XGWx4Cu8ti0,Jarhead,Oscar winner Jamie Foxx stars with Oscar nominee Jake Gyllenhaal in this unconventional war story that follows a soldier from boot camp to active duty in the deserts of the Middle East. CBFC Rating UA. Certificate Number VFL/2/374/2007-MUM,YouTube Movies,,30,,2014-09-11T18:30:03Z,PT2H2M43S,0,17,true,,
https://www.youtube.com/watch?v=UL6rjfjiaWs,A Better Life,A gardener in East L.A. struggles to keep his son away from gangs and immigration agents while trying to give his son the opportunities he never had.(CBFC/VFL/2/311/2012-MUM),YouTube Movies,,30,,2017-01-30T07:51:59Z,PT1H38M5S,0,0,true,,
https://www.youtube.com/watch?v=1NBUpld5hZA,Navidad en familia,"Carole, alcaldesa de una pequeña ciudad, está plenamente comprometida con las fiestas navideñas de su municipio, mientras Alain, su moderno y abnegado marido, se ocupa de organizar la Nochebuena en casa. Pero cuando llegan los hijos, el sueño de una Navidad tranquila se derrumba y la pareja sufre un ataque en toda regla contra todas sus tradiciones familiares.",YouTube Movies,,30,,2024-12-19T23:02:01Z,PT1H33M52S,0,0,true,,
https://www.youtube.com/watch?v=9Os8D7O6MZU,Australia,"A romantic action-adventure epic set in Australia prior to World War II that centers on an English aristocrat (Nicole Kidman) who inherits a large ranch.  When English cattle barons plot to take her land, she reluctantly joins forces with a rough-hewn cattle drover (Hugh Jackman) to protect her ranch.  Together they experience four life-altering years, a love affair and the bombing of Darwin during World War II.",YouTube Movies,,30,,2013-12-20T01:52:27Z,PT2H45M28S,0,5,true,,
https://www.youtube.com/watch?v=jbJdNpdT31Y,What If,"Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her long-time boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life.(CBFC/DFL/3/69/2014-MUM)",YouTube Movies,,30,,2017-04-12T10:00:15Z,PT1H37M11S,0,0,true,,
https://www.youtube.com/watch?v=etcvW4k7OyE,Man on a Ledge,"As a police psychologist works to talk down an ex-con who is threatening to jump from a Manhattan hotel rooftop, the biggest diamond heist ever committed is in motion.(CBFC/DFL/2/1/2012-MUM)",YouTube Movies,,30,,2017-06-13T16:27:36Z,PT1H38M13S,0,0,true,,
https://www.youtube.com/watch?v=sQdmt7vIEdQ,Wreck-It Ralph,"From Walt Disney Animation Studios comes a hilarious, arcade-game-hopping journey in Disney's Wreck-It Ralph. For decades, Ralph has played the bad guy in his popular video game. In a bold move, he embarks on an action-packed adventure and sets out to prove to everyone that he is a true hero with a big heart. As he explores exciting new worlds, he teams up with some unlikely new friends including feisty misfit Vanellope von Schweetz. Then, when an evil enemy threatens their world, Ralph realizes he holds the fate of the entire arcade in his massive hands. CBFC Rating U. Certificate Number DFL/1/29/2012-MUM.",YouTube Movies,,30,,2013-08-07T13:00:09Z,PT1H41M17S,0,0,true,,
https://www.youtube.com/watch?v=I1pkrZJ2sj8,Patch Adams,"Robin Williams is Patch Adams, a doctor who will do anything to make his patients laugh -- even if it means risking his own career -- in this inspiring comedy based on a true story. CBFC Rating A. Certificate Number CFL/3/18/1999-MUM",YouTube Movies,,30,,2013-12-22T18:40:23Z,PT1H55M25S,0,0,true,,
https://www.youtube.com/watch?v=uCNDHDA2Vi4,Manchester by the Sea,"Academy Award®-nominee Casey Affleck stars as Lee Chandler, a Boston janitor who returns to his hometown after the sudden death of his older brother, Joe (Kyle Chandler). Lee is stunned to learn that Joe had made him the sole guardian of his teenage nephew, Patrick (Lucas Hedges). Returning to the small fishing community, Lee is forced to confront the past he left behind as he reconnects with his estranged wife, Randi (Academy Award®-nominee Michelle Williams). Lee must decide whether he can handle the responsibility of being the boy’s guardian, while learning how to cope with the void left by his dead brother. Academy Award®-nominee Kenneth Lonergan (“You Can Count on Me”) writes and directs. - ( Original Title - Manchester by the Sea )",YouTube Movies,,30,,2017-11-26T18:30:01Z,PT2H17M22S,0,21,true,,
