Video URL,Title,Captions Available,Caption Text
https://www.youtube.com/watch?v=AL2xUN_eP50,State of Play,No,No captions available :()
https://www.youtube.com/watch?v=IEAfVDaf1hM,Contagion,No,No captions available :()
https://www.youtube.com/watch?v=LjiXs0LdFZs,Definitely Maybe,No,No captions available :()
https://www.youtube.com/watch?v=GjbLPDsPhDA,We Bought a Zoo,No,No captions available :()
https://www.youtube.com/watch?v=eRSkM_W9xXw,Charlie Wilson's War,No,No captions available :()
https://www.youtube.com/watch?v=JLwNc9sGEes,Shallow Hal,No,No captions available :()
https://www.youtube.com/watch?v=XGWx4Cu8ti0,Jarhead,No,No captions available :()
https://www.youtube.com/watch?v=UL6rjfjiaWs,A Better Life,No,No captions available :()
https://www.youtube.com/watch?v=1NBUpld5hZA,Navidad en familia,No,No captions available :()
https://www.youtube.com/watch?v=9Os8D7O6MZU,Australia,No,No captions available :()
https://www.youtube.com/watch?v=jbJdNpdT31Y,What If,No,No captions available :()
https://www.youtube.com/watch?v=etcvW4k7OyE,Man on a Ledge,No,No captions available :()
https://www.youtube.com/watch?v=sQdmt7vIEdQ,Wreck-It Ralph,No,No captions available :()
https://www.youtube.com/watch?v=I1pkrZJ2sj8,Patch Adams,No,No captions available :()
https://www.youtube.com/watch?v=uCNDHDA2Vi4,Manchester by the Sea,No,No captions available :()
https://www.youtube.com/watch?v=ThrC-JWxVA4,Tower Heist,No,No captions available :()
https://www.youtube.com/watch?v=FzebZ_uu0gk,Inside Man,No,No captions available :()
https://www.youtube.com/watch?v=jdGaUUB2aak,The Monuments Men,No,No captions available :()
https://www.youtube.com/watch?v=iEMKrOjsksE,The Rite,No,No captions available :()
https://www.youtube.com/watch?v=MoD8Wt97Xq8,Mission To Mars,No,No captions available :()
https://www.youtube.com/watch?v=UOxjpPtHVZM,Max (2015),No,No captions available :()
https://www.youtube.com/watch?v=5SR6dPkQ_rM,Total Recall,No,No captions available :()
https://www.youtube.com/watch?v=4dfnH232lB4,Incarnate,No,No captions available :()
https://www.youtube.com/watch?v=3LCiNRNkSug,Vacation,No,No captions available :()
https://www.youtube.com/watch?v=XzrOks5QVo4,The November Man,No,No captions available :()
https://www.youtube.com/watch?v=Y45SC-THvwI,Allied,No,No captions available :()
https://www.youtube.com/watch?v=C1hAEMXf85c,X-Men: The Last Stand,No,No captions available :()
https://www.youtube.com/watch?v=JG1pnk2VgEo,Mirror Mirror,No,No captions available :()
https://www.youtube.com/watch?v=UaHMLfKeAtU,Money Monster,No,No captions available :()
https://www.youtube.com/watch?v=yY5bcIq_h4k,Sucker Punch,No,No captions available :()
https://www.youtube.com/watch?v=nNPZOZR_WDQ,Hell or High Water,No,No captions available :()
https://www.youtube.com/watch?v=pnwfdY0HVu4,Pete's Dragon (2016),No,No captions available :()
https://www.youtube.com/watch?v=r3MM8CvL1oA,The 5th Wave,No,No captions available :()
https://www.youtube.com/watch?v=8jdWA0pM9X8,What to Expect When you are Expecting,No,No captions available :()
https://www.youtube.com/watch?v=qKcOtOejaic,My Best Friend's Wedding,No,No captions available :()
https://www.youtube.com/watch?v=rNTOuqR6x_Q,The Little Rascals Save the Day,No,No captions available :()
https://www.youtube.com/watch?v=k7UaZ6Su5dI,The Smurfs,No,No captions available :()
https://www.youtube.com/watch?v=gc9sgdUkWY0,G.I. Joe: The Rise of Cobra,No,No captions available :()
https://www.youtube.com/watch?v=4CAhEt_f960,The Italian Job (2003),No,No captions available :()
https://www.youtube.com/watch?v=2BR-LGAfqjQ,Resident Evil: Retribution,No,No captions available :()
https://www.youtube.com/watch?v=AWpl7YE_38Q,Superman Returns,No,No captions available :()
https://www.youtube.com/watch?v=-0sxErCPYVc,American Assassin,No,No captions available :()
https://www.youtube.com/watch?v=wMFADwMcKgk,Sniper: Ghost Shooter,No,No captions available :()
https://www.youtube.com/watch?v=6fZVUHXJcUw,Rogue One: A Star Wars Story,No,No captions available :()
https://www.youtube.com/watch?v=6xrh-w09Rvo,The Ugly Truth,No,No captions available :()
https://www.youtube.com/watch?v=OVS_z4Ru1YY,Fantastic Four,No,No captions available :()
https://www.youtube.com/watch?v=bGY10oqiJoM,The Ant Bully,No,No captions available :()
https://www.youtube.com/watch?v=bfEIhjqXP5A,The Tourist,No,No captions available :()
https://www.youtube.com/watch?v=rAz5u3wiCVk,Jack Reacher: Never Go Back,No,No captions available :()
https://www.youtube.com/watch?v=mhSAFrqjapQ,Epic,No,No captions available :()
https://www.youtube.com/watch?v=8KWjhxHb99w,Dr. Seuss' Horton Hears a Who!,No,No captions available :()
https://www.youtube.com/watch?v=nSDuzEmm3w8,Mr. and Mrs. Smith,No,No captions available :()
https://www.youtube.com/watch?v=_33KvQFrunc,Nacho Libre,No,No captions available :()
https://www.youtube.com/watch?v=KnP9nl6JfvI,Transporter 2,No,No captions available :()
https://www.youtube.com/watch?v=g1zqqsOU3bU,Brooklyn,No,No captions available :()
https://www.youtube.com/watch?v=LlNSB_-GmBI,Gone,No,No captions available :()
https://www.youtube.com/watch?v=FhV6Vqbezk0,Colossal,No,No captions available :()
https://www.youtube.com/watch?v=WJlY0VySfbo,The Spy Who Loved Me,No,No captions available :()
https://www.youtube.com/watch?v=F9Vc60F5IeM,Yogi Bear,No,No captions available :()
https://www.youtube.com/watch?v=R9rf3urf-J0,The Butler,No,No captions available :()
https://www.youtube.com/watch?v=ecrWgbtmb8I,The Walk,No,No captions available :()
https://www.youtube.com/watch?v=2Mq6z-IlECA,In the Heart of the Sea,No,No captions available :()
https://www.youtube.com/watch?v=UNLBgIMaPjQ,The 33,No,No captions available :()
https://www.youtube.com/watch?v=8wGmzBF4IHU,Ocean's Thirteen,No,No captions available :()
https://www.youtube.com/watch?v=Aycsq9SsMxk,Cloudy With A Chance Of Meatballs 2,No,No captions available :()
https://www.youtube.com/watch?v=ROyLVfROnP0,Where the Wild Things Are,No,No captions available :()
https://www.youtube.com/watch?v=YVkmfUAIlb4,Robot and Frank,No,No captions available :()
https://www.youtube.com/watch?v=Mlb3v9uDK30,Assassin's Creed,No,No captions available :()
https://www.youtube.com/watch?v=yhsihRa9XUQ,Charlie's Angels: Full Throttle,No,No captions available :()
https://www.youtube.com/watch?v=G92Jr_id27k,Underworld Awakening,No,No captions available :()
https://www.youtube.com/watch?v=vIYrlx1UEgs,Ouija,No,No captions available :()
https://www.youtube.com/watch?v=HUK2SCqzuJc,Breathe In,No,No captions available :()
https://www.youtube.com/watch?v=kBwi0cSuYC4,Insidious: Chapter 2,No,No captions available :()
https://www.youtube.com/watch?v=_8ZGNDhXa8o,Fire with Fire,No,No captions available :()
https://www.youtube.com/watch?v=M2-_8Vi-_xo,The Lost Future,No,No captions available :()
https://www.youtube.com/watch?v=UrEj6cEvdgU,Shrek,No,No captions available :()
https://www.youtube.com/watch?v=uKnTScBY7Ps,The Judge,No,No captions available :()
https://www.youtube.com/watch?v=LLZYdD6HWG4,The Lone Ranger (2013),No,No captions available :()
https://www.youtube.com/watch?v=rhfPDyuY5c0,Patriots Day,No,No captions available :()
https://www.youtube.com/watch?v=IIfFAy3LLk4,Cloudy with a Chance of Meatballs,No,No captions available :()
https://www.youtube.com/watch?v=n9oqY9rV050,Death Race (Theatrical),No,No captions available :()
https://www.youtube.com/watch?v=SblnEKxmi7s,The Finest Hours (2016),No,No captions available :()
https://www.youtube.com/watch?v=LXCPQvjBFhc,Tears of the Sun,No,No captions available :()
https://www.youtube.com/watch?v=aNBZc7Prc9g,The Hangover Part III,No,No captions available :()
https://www.youtube.com/watch?v=OtLZRiECnRU,The Waterboy,No,No captions available :()
https://www.youtube.com/watch?v=vscw5BkPP1k,R.I.P.D.,No,No captions available :()
https://www.youtube.com/watch?v=635mKczPl3k,Terminator Genisys,No,No captions available :()
https://www.youtube.com/watch?v=vGXL8OQD4UY,A.I. Artificial Intelligence,No,No captions available :()
https://www.youtube.com/watch?v=ORJSyHyhJng,Wrath of the Titans (2012),No,No captions available :()
https://www.youtube.com/watch?v=NZT4WDmT-bw,Hellboy 2:  The Golden Army,No,No captions available :()
